time,x_master,y_master,z_master,x_slave,y_slave,z_slave,error_x,error_y,error_z
0.01,1.0125657368478254,1.2599200214859088,0.9848910455360583,5.075045241615504,5.342781231525377,3.614571129338541,4.062479504767678,4.082861210039468,2.6296800838024827
0.02,1.0488214620185041,1.5240008412831032,0.9731143399346768,5.172253781298916,5.680533634417608,2.3251764851889387,4.123432319280411,4.156532793134504,1.352062145254262
0.03,1.1072062877356887,1.7983146028076193,0.9651590926105617,5.290683634656681,6.020266777947939,1.1276347577832808,4.183477346920991,4.22195217514032,0.16247566517271916
0.04,1.1868654714646163,2.0885455625355354,0.9617373661412486,5.430010904406761,6.368644159351028,0.018212065478855313,4.2431454329421445,4.280098596815493,-0.9435253006623933
0.05,1.2875547783722363,2.400160437759407,0.9638061879341934,5.590457788737192,6.732152389701637,-1.006331496788987,4.302903010364956,4.33199195194223,-1.9701376847231802
0.06,1.4095688245644395,2.7385520966702255,0.972608264476967,5.7727399824663355,7.117241695679048,-1.948681807127785,4.3631711579018955,4.378689599008823,-2.921290071604752
0.07,1.5536888086327445,3.109160999522528,0.9897311799757859,5.978029713166686,7.530441851156348,-2.8108941644058834,4.424340904533942,4.42128085163382,-3.800625344381669
0.08,1.7211458154855321,3.517577140547737,1.0171865430813194,6.2079310312977265,7.978455780263869,-3.5942963458793695,4.486785215812194,4.460878639716132,-4.611482888960689
0.09,1.913596418613342,3.969623510771946,1.0575118416107827,6.464464455503206,8.468230515270605,-4.299366624432792,4.550868036889864,4.498607004498659,-5.356878466043574
0.1,2.1331076244120184,4.471420172556272,1.1138988859439283,6.750058060161047,9.00700280572148,-4.925581344194236,4.616950435749029,4.535582633165209,-6.039480230138164
0.11,2.3821482898088195,5.029425746524277,1.1903537012337506,7.067541958603882,9.602313546880369,-5.471226067009056,4.685393668795062,4.572887800356092,-6.661579768242806
0.12,2.663583980502409,5.6504502631871825,1.2918935221543895,7.42014267078676,10.261981372183175,-5.933164006121685,4.756558690284351,4.611531108995993,-7.225057528276075
