x1,x2,x3,y1,y2,y3,u1,u2,u3
1.0,0.0,0.0,0.5,-0.65,0.0,0.8499999999999991,13.35,16.575
1.0,0.0,0.0,0.5,-0.65,0.0,0.8499999999999991,13.35,16.575
0.9999946579231171,1.4957815271973049e-5,0.0,0.4999943106881198,-0.6499850421847281,8.680874934627217e-6,0.8499965276500271,13.350022743842942,16.574961996915423
0.9999139925621862,0.0002408208258787661,0.0,0.4999084020787283,-0.6497591791741213,0.00013976208644749818,0.849944095165423,13.350366163864576,16.57438815160098
0.9998253726588979,0.0004890730844623682,4.3155316321144626e-9,0.4998140180744834,-0.6495109244107726,0.0002838501902514701,0.849886431612971,13.350743644732434,16.573757379952692
0.9995196494266333,0.0013458498964319175,3.2143415428677725e-8,0.49948839827745234,-0.6486541314378294,0.0007811712613210263,0.8496873205165404,13.352046343814834,16.57158032622237
0.9994769788717844,0.0014654861272769316,3.8013731880478886e-8,0.4994429489560819,-0.6485344917950985,0.0008506207783149054,0.8496595021443542,13.352228241037993,16.571276315057602
0.9994663294555455,0.0014953464825710509,3.9567268265674576e-8,0.4994316059567941,-0.6485046305369736,0.000867955155958099,0.849652558188389,13.352273641225471,16.571200435196957
0.9994663343548881,0.0014953423226942496,3.9928966355702376e-8,0.4994316108555625,-0.6485046344934433,0.0008679540025506513,0.8496525563519823,13.35227363899655,16.571200441236407
0.9986080050745157,0.0039021367894737356,1.6846173531188286e-7,0.49851737674260516,-0.6460977653795981,0.0022651450175888437,0.8490928362025417,13.355931713605154,16.565084494037528
0.9977288712407656,0.006378937920292842,7.314312443197285e-7,0.497580601914723,-0.6436206369070491,0.0037042845386262326,0.8485134801856502,13.359697969769556,16.55878643485719
0.9947115906996302,0.014914544707114064,3.943214638934506e-6,0.4943643563969919,-0.6350831529274245,0.008667588736454125,0.8465069356844639,13.372669532927054,16.53707154564841
0.994292793510914,0.016104609899297847,4.581567119370982e-6,0.4939177718860975,-0.633892711781352,0.009360102818467398,0.8462256788776823,13.374477370775116,16.5340425663749
0.9941883830976883,0.016401551047049087,4.749814320645952e-6,0.49380642572304484,-0.6335956716395095,0.009532925466519413,0.8461554304325908,13.374928457096745,16.533286694838672
0.9941890920068669,0.016400787790730537,4.802690989241929e-6,0.4938071340586942,-0.6335964106952884,0.009532803694854777,0.8461552068924436,13.374928216755789,16.533287337299758
0.9887061744242404,0.03200126499825435,1.3938759155130458e-5,0.4879597325634589,-0.6179905906907597,0.0186140952741503,0.8424622825933112,13.398577820542506,16.493575116432083
0.9832993278905615,0.047888608502081605,4.1247459140292883e-5,0.48217708898377093,-0.6020871381446342,0.02791594367933172,0.8385593307525353,13.422741508824299,16.45296171912019
0.9653080253169826,0.10224293047900511,0.00018299610354021792,0.46288878724644356,-0.5476465941539849,0.05984060423583406,0.8248133409915209,13.505029646589868,16.313814443503848
0.9628801777039159,0.10978869546405699,0.000208637421078073,0.46027987091620864,-0.540084401653053,0.06427147325908611,0.8228548061769176,13.516380301354902,16.294535324469173
0.9622798275866574,0.11166711615517363,0.00021543570185953724,0.4596343245255578,-0.5382016531125741,0.06537613392169672,0.8223638927987328,13.519207820388031,16.289730321539217
0.9623675278635963,0.11154362801927215,0.00022197655997732208,0.459721865656466,-0.5383231052516013,0.0653692131908092,0.8223439773665593,13.51919707877091,16.289767546876117
0.9534360519040416,0.1397130284257634,0.00033404099955308117,0.4501081957545238,-0.5100853169004477,0.08202652608973277,0.8149065464407226,13.56167643688094,16.21734507591536
0.945038739788425,0.16814838418558173,0.0005055010147628533,0.4410076531399808,-0.481543258524284,0.09898469058256389,0.8069139179043491,13.604833261063023,16.143827422131526
0.9180850945663624,0.26513607710406967,0.0012335096342827175,0.41162807024294085,-0.3840863499133789,0.15688598037802287,0.7784315999228207,13.750672931324036,15.89364941427547
0.9145191566178124,0.27868593894531296,0.0013484076288157061,0.40772383096248566,-0.3704575306601965,0.16487966640578508,0.7743379698963186,13.770649132147911,15.85923255757991
0.9136493059550289,0.2820496004286595,0.0013784000961666845,0.40676953367034935,-0.36707335167565025,0.16687022628822681,0.773308846091991,13.775620847898317,15.850666926001614
0.914131233898082,0.28132756861199404,0.0014099574212830856,0.4072504462882543,-0.3677847981867071,0.16683390214787022,0.7732034250900341,13.775627925991534,15.850825542990885
0.9051459403953598,0.3172700368540148,0.0017697794678052192,0.39734346641551144,-0.33160744149866667,0.18849639155021872,0.7618725653756502,13.829614306090189,15.757656808750466
0.8972108903087936,0.3534770798767088,0.002226714830694776,0.38845880112939063,-0.2950951865815399,0.2104383642562553,0.7496295063302079,13.884446681885503,15.663674833874767
0.8729721252715489,0.4773620406373596,0.004015845341022893,0.36094665868923925,-0.1699859153185043,0.2850618888448514,0.7058769377796779,14.069797567108711,15.345717776185172
0.8698291352219125,0.4949057078468927,0.004286686015008263,0.3573478624422842,-0.15224999791123345,0.2953306433017087,0.699588624026853,14.095170979066333,15.302247308827928
0.8690792882344842,0.49925413760832105,0.00435628866047245,0.35648423801416285,-0.1478521275601237,0.2978849414693605,0.6980058843127888,14.101489119936652,15.291441865669583
0.8700684696499984,0.49768599307530287,0.004403835641141051,0.3574710422322894,-0.14939684336988332,0.2977837959293347,0.6977712538295868,14.101642536892728,15.29174191723789
0.8628511384908462,0.5439310276159605,0.005220334317096179,0.3489995674407658,-0.1025831944442698,0.3257789135015243,0.6801122880412693,14.171080675010996,15.173270995830887
0.8575687885802119,0.5906066239306379,0.006200040201613307,0.34242642173408955,-0.055211561806845375,0.353934588496567,0.660940003176126,14.241782227950857,15.054931002048269
