time,x_master,y_master,z_master,dx_master,dy_master,dz_master,x_slave,y_slave,z_slave,error_x,error_y,error_z
0.0,1.0,1.0,1.0,0.0,26.0,-1.6666666666666665,0.051737274291918316,26.2989305430553,-3.1030156496765264,-0.9482627257080817,25.2989305430553,-4.103015649676527
0.01,1.0125657368478254,1.2599200214859088,0.9848910455360583,2.473542846380834,26.094653683015157,-1.3506242765042815,2.7591606573263414,26.31712916712595,-4.645892001442962,1.746594920478516,25.057209145640044,-5.630783046979021
0.02,1.0488214620185041,1.5240008412831032,0.9731143399346768,4.751793792645991,26.82237689051355,-0.9965667826871636,5.056919343161331,27.039847457813988,-4.473753339546779,4.008097881142827,25.515846616530883,-5.446867679481455
0.03,1.1072062877356887,1.7983146028076193,0.9651590926105617,6.911083150719306,28.134831237787978,-0.582652344739327,7.241794745753811,28.370070373774006,-4.425575765506959,6.134588458018122,26.571755770966387,-5.390734858117521
0.04,1.1868654714646163,2.0885455625355354,0.9617373661412486,9.01680091070919,30.002234765983346,-0.08581036262259234,9.378754933331514,30.25940138110706,-4.354122400305274,8.191889461866898,28.170855818571525,-5.315859766446522
0.05,1.2875547783722363,2.400160437759407,0.9638061879341934,11.126056593871708,32.41042009396381,0.5201882060059408,11.524907160744403,32.69506550108021,-4.244943913602687,10.237352382372167,30.2949050633208,-5.2087501015368805
0.06,1.4095688245644395,2.7385520966702255,0.972608264476967,13.28983272105786,35.358416703013624,1.266555621306686,13.731536137884156,35.67627457348824,-4.072156850625746,12.321967313319716,32.93772247681802,-5.044765115102713
0.07,1.5536888086327445,3.109160999522528,0.9897311799757859,15.554721908897836,38.85639138431106,2.1913855025934543,16.045619389796403,39.213590190052074,-3.804767027093663,14.49193058116366,36.104429190529544,-4.794498207069449
0.08,1.7211458154855321,3.517577140547737,1.0171865430813194,17.96431325062205,42.92377933085456,3.3417657278844497,18.511218563706635,43.326972475511525,-3.404112331260697,16.790072748221103,39.80939533496379,-4.421298874342017
0.09,1.913596418613342,3.969623510771946,1.0575118416107827,20.56027092158604,47.58742533765404,4.776225755827763,21.17054710056987,48.04392668163504,-2.8214638374368715,19.25695068195653,44.0743031708631,-3.878975679047654
0.1,2.1331076244120184,4.471420172556272,1.1138988859439283,23.383125481442534,52.8795271045492,6.567623432845678,24.064748956477715,53.39744687750092,-1.9951422030931103,21.931641332065695,48.92602670494465,-3.1090410890370386
0.11,2.3821482898088195,5.029425746524277,1.1903537012337506,26.472774567154573,58.8351273344611,8.806561404179917,27.23438194859184,59.423506984272855,-0.8470698858723508,24.85223365878302,54.39408123774858,-2.0374235871061015
0.12,2.663583980502409,5.6504502631871825,1.2918935221543895,29.868662826847732,65.488834300755,11.605399411239297,30.719572708064955,66.15777594627787,0.7213384557823691,28.055988727562546,60.507325683090684,-0.5705550663720204
0.13,2.9806717812849812,6.341629687388881,1.4247870088900423,33.609579061039,72.87035775685061,15.102884632852355,34.55977729621252,73.63114013635234,2.8340126458281416,31.57910551492754,67.28951044896345,1.4092256369380993
0.14,3.337050761148141,7.11034770833858,1.596843659962151,37.73296947190439,80.9983252528981,19.469341472240128,38.793041158573885,81.86349259198691,5.645794161660903,35.455990397425744,74.75314488364833,4.0489505016987515
0.15,3.7367225515882825,7.964084306604915,1.8177571682739357,42.27361755016632,89.87169293386653,24.91222098251042,43.454602018701806,90.8550954349228,9.34862152491381,39.71787946711353,82.89101112831788,7.530864356639874
0.16,4.184014714807304,8.910162897295113,2.0995043859327907,47.26148182487808,99.45789187276415,31.681574311125395,48.574617912560186,100.57464588491199,14.178019712792317,44.39060319775288,91.66448298761688,12.078515326859526
0.17,4.683517147446146,9.955358379223922,2.4567954613394813,52.71841231777776,109.67667807831684,40.07463711449496,54.17472976947803,110.94299979237736,20.4192452693077,49.49121262203188,100.98764141315344,17.96244980796822
0.18,5.239978586390335,11.105317413835058,2.9075598807494534,58.65338827444723,120.37853149131956,50.438132428231526,60.26308722231531,121.81137981991436,28.411911659395987,55.02310863592498,110.70606240607931,25.504351778646534
0.19,5.858146318742511,12.36373065501569,3.473435224337712,65.05584336273179,131.31647449693006,63.16604929103687,66.82738808119063,132.93291696503618,38.55112676193527,60.96924176244812,120.5691863100205,35.07769153759756
0.2,6.54252756248653,13.731186726894435,4.18019741061511,71.88659164407906,142.11052824714423,78.68947453138242,73.82542898884888,143.926720093885,51.2820467063607,67.28290142636236,130.19553336699056,47.101849295745595
0.21,7.2970460986065,15.203634048372521,5.0580296534277025,79.06587949766022,152.20498116342887,97.45353944151044,81.17268068922664,154.2346271667074,67.083258740504,73.87563459062014,139.0309931183349,62.02522908707629
0.22,8.124563573267062,16.770387219554692,6.141469434871883,86.4582364628763,160.8206339750299,119.87482528725252,88.72656090936063,163.07279421828784,86.43264151435558,80.60199733609356,146.30240699873315,80.2911720794837
0.23,9.026233329725752,18.41165264836767,7.468798285477421,93.8541931864192,166.90776456657855,146.2710773620899,96.26749808416575,169.38388583994174,109.7476673606345,87.24126475444,150.97223319157408,102.27886907515708
0.24,10.000658893046092,20.095632210830082,9.080554474629366,100.9497331778399,169.11128893396884,176.75475104827638,103.47772307257442,171.80141747009782,137.29134209747085,93.47706417952833,151.70578525926774,128.21078762284148
0.25,11.04284425737915,21.775417199592038,11.01677340280781,107.32572942212889,165.76770910098057,211.0844783670626,109.9201834919103,168.6459995806144,169.03670135163762,98.87733923453115,146.87058238102236,158.0199279488298
